"Zeitstempel","Ich kann mir sehr gut vorstellen, ArgoData regelmäßig zu nutzen.","Ich empfinde ArgoData als unnötig komplex.","Ich empfinde ArgoData als einfach zu nutzen.","Ich denke, dass ich Hilfestellung bei der Benutzung brauchen würde, um ArgoData zu nutzen.","Ich finde, dass die Funktionen (Karte, Steuerung, Anzeige von Daten) gut integriert sind.","Ich finde, dass es in ArgoData zu viele Inkonsistenzen gibt.","Ich kann mir vorstellen, dass die meisten Leute ArgoData schnell zu beherrschen lernen.","Ich empfinde die Bedienung als sehr umständlich.","Ich habe mich bei der Nutzung von ArgoData sehr sicher gefühlt.","Ich musste eine Menge Dinge lernen, bevor ich mit ArgoData arbeiten konnte."
"2018/02/25 11:06:20 vorm. MEZ","4","1","4","1","4","3","4","2","4","1"
"2018/02/25 5:05:27 nachm. MEZ","3","2","3","4","4","2","4","2","5","1"
"2018/02/25 5:33:19 nachm. MEZ","2","2","5","1","4","3","5","2","5","1"
"2018/02/26 8:13:01 vorm. MEZ","3","1","5","3","5","2","5","2","4","3"
"2018/02/26 12:12:08 nachm. MEZ","1","3","3","2","3","2","4","1","4","1"
"2018/02/26 12:37:45 nachm. MEZ","4","1","5","4","5","2","5","2","4","1"
"2018/02/26 4:05:59 nachm. MEZ","3","1","5","1","5","1","5","1","5","1"
"2018/03/01 9:40:59 vorm. MEZ","2","3","3","3","4","3","3","2","3","2"
"2018/03/01 9:44:32 vorm. MEZ","1","3","4","3","4","3","4","3","2","4"
"2018/03/01 1:57:22 nachm. MEZ","4","1","5","3","5","2","4","1","5","1"
"2018/03/02 9:23:03 vorm. MEZ","1","1","5","1","4","1","5","2","4","1"
"2018/03/03 2:30:28 nachm. MEZ","4","1","4","2","5","1","5","1","4","1"
